id,category,difficulty,focus_area,question,planner_tasks_count,routing_decisions,agents_invoked,baseline_score,baseline_time,routing_f1,numeric_f1,hallucination_rate,task_coverage,llmj_overall,llmj_norm,llmj_time,llmj_error_cat,llmj_planner,llmj_supervisor,llmj_agents,HACE_score,HACE_time,HACE_layer1,HACE_layer2,HACE_layer3,HACE_layer3_used,HACE_quality
TC-045,Risk_Multi_Asset,Hard,Risk_Officer,¿Cual es mas arriesgada: Bitcoin o Dogecoin?,1,1,Risk_Officer,0.7000000000000001,0.00014590006321668625,1.0,0.0,0.0,1.0,3.9125,0.978125,479.3961717999773,None,3.75,4.0,4.0,0.9304118478298187,125.57437899999786,1.0,0.8260296195745468,1.0,1,Excelente
TC-046,Planner_Basics,Easy,Planner,Dame el precio de Ethereum,1,1,Technical_Analyst,0.7001027045532352,0.005961399991065264,1.0,0.000342348510783978,0.0,1.0,3.9625000000000004,0.9906250000000001,557.0278829999734,None,4.0,4.0,4.0,0.9156644147448243,199.52698580001015,1.0,0.7891610368620604,1.0,1,Excelente
TC-047,Planner_Basics,Easy,Planner,¿Cuál es la volatilidad de Cardano?,1,1,Risk_Officer,0.85,0.00014670006930828094,1.0,0.5,0.0,1.0,4.0,1.0,476.3020084000891,None,4.0,4.0,4.0,0.9343388442198437,117.75741040008143,1.0,0.8358471105496089,1.0,1,Excelente
TC-048,Planner_Basics,Easy,Planner,Busca noticias de Ethereum,1,1,Fundamental_Analyst,0.9285714285714286,0.0002308000111952424,1.0,0.761904761904762,0.0,1.0,4.0,1.0,491.2196057999972,None,4.0,4.0,4.0,0.9469867197104863,0.132573299924843,1.0,0.9116445328508105,,0,Excelente
TC-049,Routing_Technical,Easy,Supervisor,¿Cuál es el volumen de negociación de Solana hoy?,1,1,Technical_Analyst,0.6142857142857143,0.00017929996829479933,0.0,0.7142857142857143,0.0,1.0,4.0,1.0,444.7063881000504,None,4.0,4.0,4.0,0.8182110909620921,180.9707982999971,0.8,0.6955277274052303,1.0,1,Bueno
TC-050,Routing_Risk,Easy,Supervisor,¿Es arriesgado invertir en Bitcoin ahora mismo?,1,1,Risk_Officer,0.85,0.00013599998783320189,1.0,0.5,0.0,1.0,4.0,1.0,482.45584229996894,None,4.0,4.0,4.0,0.9409596407413483,117.28319280000869,1.0,0.8523991018533706,1.0,1,Excelente
TC-051,Routing_Fundamental,Easy,Supervisor,¿Qué es Proof of Work?,1,1,Fundamental_Analyst,0.7000000000000001,0.00017880008090287447,1.0,0.0,0.0,1.0,4.0,1.0,499.71742420003284,None,4.0,4.0,4.0,0.956049736738205,144.42726179992314,1.0,0.8901243418455124,1.0,1,Excelente
TC-052,Technical_SQL_Simple,Easy,Technical_Analyst,Dame el precio de apertura de Ethereum del último día disponible,1,1,Technical_Analyst,0.9142857142857143,0.00017619994468986988,1.0,0.7142857142857143,0.0,1.0,4.0,1.0,451.5179509000154,None,4.0,4.0,4.0,0.8578983225425085,118.6598713999847,0.8,0.7947458063562711,1.0,1,Bueno
TC-053,Risk_Volatility_Basic,Easy,Risk_Officer,¿Cuál es la volatilidad de Ethereum?,1,1,Risk_Officer,0.85,0.00013569998554885387,1.0,0.5,0.0,1.0,4.0,1.0,480.7605403000489,None,4.0,4.0,4.0,0.9416460319360098,116.31530759995803,1.0,0.8541150798400243,1.0,1,Excelente
TC-054,Fundamental_News,Easy,Fundamental_Analyst,¿Hay alguna noticia importante sobre Bitcoin hoy?,1,1,Fundamental_Analyst,0.7000000000000001,0.0001390998950228095,1.0,0.0,0.0,1.0,3.9625000000000004,0.9906250000000001,458.5553620000137,None,4.0,4.0,4.0,0.9545148795843125,0.10156989993993193,1.0,0.924191465973854,,0,Excelente
TC-055,Technical_Chart,Easy,Technical_Analyst,Genera un gráfico de Ethereum,1,1,Technical_Analyst,1.0,0.000125400023534894,1.0,1.0,0.0,1.0,4.0,1.0,463.8506653000368,None,4.0,4.0,4.0,0.9672191044688224,0.04917629994452,1.0,0.9453651741147041,,0,Excelente
TC-056,Planner_Multi_Asset,Medium,Planner,Dame el precio de Solana y la volatilidad de Cardano,2,2,Technical_Analyst; Risk_Officer,0.7859402074435632,0.008858800050802529,1.0,0.28646735814521046,0.0,1.0,3.9625000000000004,0.9906250000000001,691.1664078999311,None,4.0,4.0,4.0,0.8878402946649813,318.73571300006006,1.0,0.7196007366624533,1.0,1,Excelente
TC-057,Planner_Temporal,Medium,Planner,¿Cuál fue el precio máximo de Bitcoin la semana pasada?,1,1,Technical_Analyst,0.3,0.00034559995401650667,1.0,0.16666666666666666,0.3333333333333333,1.0,3.95,0.9875,481.1610561000416,None,3.75,4.0,4.0,0.8581534830729167,130.6130734999897,0.8,0.7953837076822917,1.0,1,Bueno
TC-058,Technical_SQL_Top,Medium,Technical_Analyst,¿Cuáles fueron los 5 días con menor precio de cierre de Bitcoin?,1,1,Technical_Analyst,0.9272727272727272,0.000395399983972311,1.0,0.7575757575757575,0.0,1.0,3.1925,0.798125,499.0100316000171,Tool_Error,3.75,4.0,2.2,0.8678127694129945,128.45725199999288,0.8,0.8195319235324859,1.0,1,Bueno
TC-059,Fundamental_RAG_Concept,Medium,Fundamental_Analyst,¿Qué es la blockchain de Ethereum?,1,1,Fundamental_Analyst,0.7000000000000001,0.00016330007929354906,1.0,0.0,0.0,1.0,4.0,1.0,471.5947494999273,None,4.0,4.0,4.0,0.9525635993480682,0.08679019997362047,1.0,0.9209393322467804,,0,Excelente
TC-060,Risk_No_Data,Medium,Risk_Officer,¿Cuál es el riesgo de invertir en Ripple (XRP)?,1,1,Risk_Officer,0.55,0.0001458000624552369,0.0,0.5,0.0,1.0,4.0,1.0,485.47242850007024,None,4.0,4.0,4.0,0.900581521789233,182.4840353000909,1.0,0.7514538044730822,1.0,1,Excelente
TC-061,Routing_Multi_Task,Medium,Supervisor,Dame las noticias de Solana y su volatilidad,2,2,Fundamental_Analyst; Risk_Officer,0.9,0.00020709994714707136,1.0,0.6666666666666666,0.0,1.0,4.0,1.0,623.3009262999985,None,4.0,4.0,4.0,0.8780450243949891,314.2785360000562,1.0,0.6951125609874725,1.0,1,Excelente
TC-062,Technical_Prediction,Medium,Technical_Analyst,¿Cuánto vale Bitcoin mañana según el modelo?,1,1,Technical_Analyst,1.0,0.0001479999627918005,1.0,1.0,0.0,1.0,4.0,1.0,482.4127608999843,None,4.0,4.0,4.0,0.9147014778852463,0.0713937000837177,1.0,0.8578357964754104,,0,Excelente
TC-063,Fundamental_Citation,Medium,Fundamental_Analyst,¿Por qué es importante Ethereum en DeFi?,1,1,Fundamental_Analyst,0.8,0.00018360000103712082,1.0,0.33333333333333337,0.0,1.0,3.95,0.9875,495.71676650003064,None,3.75,4.0,4.0,0.9266162341833115,147.69655019999482,1.0,0.8165405854582787,1.0,1,Excelente
TC-064,Ambiguous_Request,Medium,Planner,Cuéntame algo sobre Solana,1,1,Technical_Analyst,0.6290076335877862,0.0009615999879315495,0.0,0.7633587786259541,0.0,1.0,3.9125,0.978125,515.0036655000877,None,3.75,4.0,4.0,0.8486424620378585,203.02199560008012,0.8,0.7716061550946463,1.0,1,Bueno
TC-065,Final_Consolidation,Medium,Final_Output,Dame las noticias de Bitcoin y el precio de Cardano,2,2,Fundamental_Analyst; Technical_Analyst,0.9270145817344589,0.0010255000088363886,1.0,0.7567152724481965,0.0,1.0,3.7125000000000004,0.9281250000000001,654.0339368000859,None,2.75,4.0,4.0,0.882125504561833,268.60838500002865,0.8,0.8553137614045824,1.0,1,Excelente
TC-066,Planner_Precision,Hard,Planner,Dame el Top 5 de los días con mayor volumen de Ethereum,1,1,Technical_Analyst,0.7967741935483871,0.00022769998759031296,1.0,0.3225806451612903,0.8,1.0,4.0,1.0,492.96275589999277,None,4.0,4.0,4.0,0.8767135680218539,124.65676339995116,0.8,0.8417839200546344,1.0,1,Excelente
TC-067,Technical_Completeness,Hard,Technical_Analyst,Dame los Top 3 precios históricos de Cardano y los Top 3 de Dogecoin,2,2,Technical_Analyst; Technical_Analyst,0.9249999999999999,0.00041580002289265394,1.0,0.7499999999999999,0.0,1.0,3.9625000000000004,0.9906250000000001,594.2823154999642,None,4.0,4.0,4.0,0.8587771136760711,242.28930120007135,0.8,0.7969427841901779,1.0,1,Bueno
TC-068,Risk_High_Warning,Hard,Risk_Officer,¿Es buen momento para invertir en Dogecoin y Solana?,2,2,Risk_Officer; Risk_Officer,0.4,0.0001938000787049532,0.0,0.0,0.5,1.0,3.9125,0.978125,635.0410079000285,None,3.75,4.0,4.0,0.8687314228216807,240.02553919993807,1.0,0.6718285570542017,1.0,1,Bueno
TC-069,Routing_Completion,Hard,Supervisor,"Dame el precio de Bitcoin, las noticias de Ethereum y la volatilidad de Solana y Cardano",4,4,Technical_Analyst; Fundamental_Analyst; Risk_Officer; Risk_Officer,0.9305263157894738,0.0003350999904796481,1.0,0.768421052631579,0.0,1.0,3.7824999999999998,0.9456249999999999,943.4452825000044,None,4.0,4.0,3.55,0.7396243278220667,701.7346649999963,0.8,0.5567170695551669,0.923125,1,Bueno
TC-070,Precision_Date,Hard,Planner + Technical,Dame el precio de cierre de Bitcoin del 1 de enero de 2024,1,1,Technical_Analyst,0.8411764705882353,0.00023230002261698246,1.0,0.4705882352941177,0.3333333333333333,1.0,3.95,0.9875,514.8804664000636,None,3.75,4.0,4.0,0.8608390667041144,128.4998084999388,0.8,0.8020976667602857,1.0,1,Bueno
TC-071,Fundamental_RAG_Empty,Hard,Fundamental_Analyst,Explícame el protocolo de Avalanche (AVAX),1,1,Fundamental_Analyst,0.7000000000000001,0.0001583000412210822,1.0,0.0,0.0,1.0,3.4,0.85,525.0853813000722,Planning_Error,1.0,4.0,4.0,0.8562946491241454,166.14164399995934,1.0,0.8207366228103637,0.7600000000000001,1,Bueno
TC-072,Technical_Unknown_Asset,Hard,Technical_Analyst,Dame el Top 3 de precios históricos de Litecoin (LTC),1,1,Technical_Analyst,0.4374999999999999,0.00017690006643533707,1.0,0.125,0.9333333333333333,1.0,3.4200000000000004,0.8550000000000001,480.30923170002643,Tool_Error,3.5,4.0,2.8,0.7671824380670276,130.86359810002614,0.8,0.7629560951675688,0.74,1,Bueno
TC-073,Loop_Detection,Hard,Supervisor,Dame información detallada de PepeToken,1,1,Fundamental_Analyst,0.7000000000000001,0.0001596999354660511,1.0,0.0,0.0,1.0,3.9000000000000004,0.9750000000000001,490.75292679993436,None,3.5,4.0,4.0,0.8752716129422189,142.55312749999575,1.0,0.778179032355547,0.88,1,Excelente
TC-074,End_to_End_Complex,Very Hard,System,"Análisis completo de Bitcoin: precio actual, Top 5 precios históricos, predicción para mañana, noticias de hoy y volatilidad",5,5,Technical_Analyst; Technical_Analyst; Technical_Analyst; Fundamental_Analyst; Risk_Officer,0.7750104446433901,0.0006487000500783324,0.8222222222222223,0.42781259325574456,0.06666666666666667,1.0,4.0,1.0,1050.807205399964,None,4.0,4.0,4.0,0.7996123087812553,687.6651357000228,0.8,0.6490307719531384,1.0,1,Bueno
TC-075,Multi_Asset_Consolidation,Very Hard,System,"Dame precios de Bitcoin, Ethereum, Solana y Cardano, y también la volatilidad de los cuatro",8,8,Technical_Analyst; Technical_Analyst; Technical_Analyst; Technical_Analyst; Risk_Officer; Risk_Officer; Risk_Officer; Risk_Officer,0.8464806356870269,0.006222600000910461,1.0,0.4882687856234229,0.2285714285714286,1.0,3.7925000000000004,0.9481250000000001,1625.337714000023,None,4.0,4.0,3.575,0.6984027059522027,1093.6251366999932,0.8,0.4485067648805065,0.93,1,Bueno
TC-076,Final_Chart_Attribution,Hard,Final_Output,Genera gráficos de Solana y Cardano,2,2,Technical_Analyst; Technical_Analyst,1.0,0.00016090006101876497,1.0,1.0,0.0,1.0,4.0,1.0,584.510431200033,None,4.0,4.0,4.0,0.9492145674228668,0.08768450003117323,1.0,0.9153576123714448,,0,Excelente
